profile_id,type_profil,age,sexe,serie_ou_filiere,competences_clefs,objectif_ou_metier,filiere_associee,score_adéquation_global
STD_2026_0001,Étudiant,21,M,A1,Contrôle qualité HACCP; Process agroalimentaires; Résolution de problèmes,Biologiste industriel,IAA,50.94
STD_2026_0199,Étudiant,21,M,A1,Algorithmique & Python; Génie Logiciel & Java/Web; Résolution de problèmes,Ingénieur Génie Logiciel,IGGLIA,61.81
STD_2026_0200,Étudiant,21,M,A2,Développement Web/Mobile; UI/UX Design; Résolution de problèmes,Administrateur Réseaux & TIC,IMTICIA,72.58
STD_2026_0201,Étudiant,18,F,L,Python / R Data; PowerBI & Analytics; Résolution de problèmes,Consultant Big Data,ISAIA,50.49
STD_2026_0202,Étudiant,16,M,C,Gestion de projets durables; Écotourisme & Biodiversité; Résolution de problèmes,Chef de projet Développement Durable,TEE,52.27
STD_2026_0203,Étudiant,19,F,D,Communication interculturelle; Gestion événementielle; Résolution de problèmes,Directeur de l'Hébergement,TEH,71.45
STD_2026_0204,Étudiant,17,F,S,Analyse Marché; Techniques de Vente; Résolution de problèmes,Chef de Produit Marketing,CAA,87.96
STD_2026_0205,Étudiant,21,F,G,Rédaction juridique; Conseil d'entreprise; Résolution de problèmes,Consultant Fiscaliste,DTJA,77.04
STD_2026_0206,Étudiant,18,M,Technique,Analyse financière; Gestion des risques; Résolution de problèmes,Analyste Économique,EMP,57.38
STD_2026_0207,Étudiant,17,F,A,Gestion de trésorerie; Audit financier; Résolution de problèmes,Contrôleur de Gestion,FIC,51.06
STD_2026_0208,Étudiant,17,M,A1,Zootechnie; Gestion d'exploitation; Résolution de problèmes,Agronome,AEE,69.7
STD_2026_0209,Étudiant,16,M,A2,Microbiologie; Process agroalimentaires; Résolution de problèmes,Ingénieur Agroalimentaire,IAA,52.22
STD_2026_0210,Étudiant,18,F,L,Pharmacologie; Analyse en laboratoire; Résolution de problèmes,Technicien supérieur en pharmacologie,PIP,44.91
STD_2026_0211,Étudiant,16,M,C,Automatisme PLC; CAO Mécanique; Résolution de problèmes,Responsable Maintenance,EMII,72.37
STD_2026_0212,Étudiant,21,M,D,Calcul de structures; Conduite de chantier BTP; Résolution de problèmes,Architecte collaborateur,GCA,89.27
STD_2026_0213,Étudiant,19,M,S,Normes QHSE; Raffinage et extraction; Résolution de problèmes,Responsable d'extraction,ICMP,72.71
STD_2026_0214,Étudiant,19,F,G,C/C++ embarqué; Signal & Traitement; Résolution de problèmes,Développeur IoT,ESIIA,53.88
STD_2026_0215,Étudiant,20,M,Technique,Algorithmique & Python; Génie Logiciel & Java/Web; Résolution de problèmes,Ingénieur Génie Logiciel,IGGLIA,74.57
STD_2026_0216,Étudiant,17,F,A,UI/UX Design; Réseaux informatiques; Résolution de problèmes,Designer UI/UX,IMTICIA,68.82
STD_2026_0217,Étudiant,17,M,A1,Python / R Data; Statistiques inférentielles; Résolution de problèmes,Data Scientist,ISAIA,61.27
STD_2026_0218,Étudiant,19,M,A2,Écotourisme & Biodiversité; Guide & Médiation; Résolution de problèmes,Chef de projet Développement Durable,TEE,76.18
STD_2026_0219,Étudiant,20,M,L,Yield Management; Management hôtelier; Résolution de problèmes,Directeur de l'Hébergement,TEH,83.59
STD_2026_0220,Étudiant,16,M,C,Negociation internationale; Techniques de Vente; Résolution de problèmes,Responsable Commercial,CAA,80.29
STD_2026_0221,Étudiant,16,F,D,Conseil d'entreprise; Rédaction juridique; Résolution de problèmes,Gestionnaire de Contrats,DTJA,69.39
STD_2026_0222,Étudiant,21,M,S,Gestion de projet Agile/PMP; Gestion des risques; Résolution de problèmes,Chef de Projet,EMP,79.52
STD_2026_0223,Étudiant,16,F,G,Gestion de trésorerie; Contrôle de gestion; Résolution de problèmes,Contrôleur de Gestion,FIC,81.44
STD_2026_0224,Étudiant,17,F,Technique,Gestion d'exploitation; Zootechnie; Résolution de problèmes,Responsable d'élevage,AEE,52.08
STD_2026_0225,Étudiant,16,M,A,Biochimie alimentaire; Microbiologie; Résolution de problèmes,Biologiste industriel,IAA,51.81
STD_2026_0226,Étudiant,21,M,A1,Chimie organique; Analyse en laboratoire; Résolution de problèmes,Responsable contrôle qualité labo,PIP,43.37
STD_2026_0227,Étudiant,21,F,A2,Électrotechnique; CAO Mécanique; Résolution de problèmes,Automaticien,EMII,45.44
STD_2026_0228,Étudiant,19,F,L,Conduite de chantier BTP; AutoCAD/Revit; Résolution de problèmes,Conducteur de travaux,GCA,39.79
STD_2026_0229,Étudiant,17,F,C,Raffinage et extraction; Génie des procédés; Résolution de problèmes,Responsable d'extraction,ICMP,79.96
STD_2026_0230,Étudiant,18,F,D,Électronique numérique; Microcontrôleurs IoT; Résolution de problèmes,Ingénieur Robotique,ESIIA,62.5
STD_2026_0231,Étudiant,19,M,S,SQL & Bases de données; Algorithmique & Python; Résolution de problèmes,Ingénieur Génie Logiciel,IGGLIA,71.81
STD_2026_0232,Étudiant,21,M,G,Réseaux informatiques; UI/UX Design; Résolution de problèmes,Administrateur Réseaux & TIC,IMTICIA,81.35
STD_2026_0233,Étudiant,18,M,Technique,Python / R Data; Machine Learning & Deep Learning; Résolution de problèmes,Data Scientist,ISAIA,58.45
STD_2026_0234,Étudiant,16,M,A,Ingénierie touristique; Écotourisme & Biodiversité; Résolution de problèmes,Responsable Parc Naturel,TEE,72.83
STD_2026_0235,Étudiant,16,F,A1,Management hôtelier; Yield Management; Résolution de problèmes,Manager d'Hôtel,TEH,76.04
STD_2026_0236,Étudiant,18,M,A2,Techniques de Vente; Negociation internationale; Résolution de problèmes,Responsable Commercial,CAA,69.63
STD_2026_0237,Étudiant,19,M,L,Rédaction juridique; Analyse fiscale; Résolution de problèmes,Consultant Fiscaliste,DTJA,72.92
STD_2026_0238,Étudiant,18,F,C,Gestion des risques; Analyse financière; Résolution de problèmes,Consultant en Organisation,EMP,83.1
STD_2026_0239,Étudiant,21,M,D,Contrôle de gestion; Gestion de trésorerie; Résolution de problèmes,Directeur Financier (CFO),FIC,89.79
STD_2026_0240,Étudiant,20,M,S,Gestion d'exploitation; Agronomie; Résolution de problèmes,Chef d'exploitation,AEE,69.33
STD_2026_0241,Étudiant,19,F,G,Contrôle qualité HACCP; Microbiologie; Résolution de problèmes,Ingénieur Agroalimentaire,IAA,52.23
STD_2026_0242,Étudiant,16,M,Technique,Normes GMP/BPF; Analyse en laboratoire; Résolution de problèmes,Responsable contrôle qualité labo,PIP,49.26
STD_2026_0243,Étudiant,20,M,A,Électrotechnique; Automatisme PLC; Résolution de problèmes,Automaticien,EMII,45.12
STD_2026_0244,Étudiant,18,F,A1,Conduite de chantier BTP; Calcul de structures; Résolution de problèmes,Chef de chantier BTP,GCA,55.32
STD_2026_0245,Étudiant,16,M,A2,Géologie minière; Génie des procédés; Résolution de problèmes,Géologue minier,ICMP,54.12
STD_2026_0246,Étudiant,21,M,L,C/C++ embarqué; Électronique numérique; Résolution de problèmes,Développeur IoT,ESIIA,39.77
STD_2026_0247,Étudiant,16,M,C,SQL & Bases de données; Algorithmique & Python; Résolution de problèmes,Architecte SI,IGGLIA,75.85
STD_2026_0248,Étudiant,18,M,D,Réseaux informatiques; Infographie & 3D; Résolution de problèmes,Designer UI/UX,IMTICIA,72.12
STD_2026_0249,Étudiant,21,M,S,Machine Learning & Deep Learning; Python / R Data; Résolution de problèmes,Data Scientist,ISAIA,78.91
STD_2026_0250,Étudiant,16,F,G,Écotourisme & Biodiversité; Ingénierie touristique; Résolution de problèmes,Responsable Parc Naturel,TEE,83.01
STD_2026_0251,Étudiant,18,M,Technique,Gestion événementielle; Management hôtelier; Résolution de problèmes,Directeur de l'Hébergement,TEH,50.21
STD_2026_0252,Étudiant,21,M,A,Analyse Marché; Marketing Digital; Résolution de problèmes,Business Developer,CAA,82.88
STD_2026_0253,Étudiant,19,M,A1,Rédaction juridique; Analyse fiscale; Résolution de problèmes,Juriste d'Entreprise,DTJA,80.49
STD_2026_0254,Étudiant,20,M,A2,Étude d'impact économique; Gestion des risques; Résolution de problèmes,Scrum Master,EMP,72.58
STD_2026_0255,Étudiant,19,M,L,Comptabilité générale & analytique; Contrôle de gestion; Résolution de problèmes,Auditeur Financier,FIC,54.83
STD_2026_0256,Étudiant,20,F,C,Zootechnie; Analyse des sols; Résolution de problèmes,Responsable d'élevage,AEE,80.52
STD_2026_0257,Étudiant,19,M,D,Process agroalimentaires; Biochimie alimentaire; Résolution de problèmes,Biologiste industriel,IAA,75.19
STD_2026_0258,Étudiant,19,M,S,Analyse en laboratoire; Pharmacologie; Résolution de problèmes,Technicien supérieur en pharmacologie,PIP,90.59
STD_2026_0259,Étudiant,19,M,G,Maintenance industrielle; Automatisme PLC; Résolution de problèmes,Automaticien,EMII,56.21
STD_2026_0260,Étudiant,21,F,Technique,AutoCAD/Revit; Métré et devis; Résolution de problèmes,Conducteur de travaux,GCA,89.2
STD_2026_0261,Étudiant,19,F,A,Raffinage et extraction; Géologie minière; Résolution de problèmes,Ingénieur QHSE,ICMP,48.33
STD_2026_0262,Étudiant,19,M,A1,Électronique numérique; C/C++ embarqué; Résolution de problèmes,Ingénieur Robotique,ESIIA,55.87
STD_2026_0263,Étudiant,19,M,A2,Algorithmique & Python; SQL & Bases de données; Résolution de problèmes,Data Scientist / IA,IGGLIA,76.44
STD_2026_0264,Étudiant,17,M,L,Réseaux informatiques; Infographie & 3D; Résolution de problèmes,Développeur Web/Mobile,IMTICIA,78.04
STD_2026_0265,Étudiant,16,M,C,Python / R Data; Machine Learning & Deep Learning; Résolution de problèmes,Data Analyst,ISAIA,79.62
STD_2026_0266,Étudiant,19,M,D,Guide & Médiation; Écotourisme & Biodiversité; Résolution de problèmes,Guide Patrimoine,TEE,78.44
STD_2026_0267,Étudiant,18,F,S,Gestion événementielle; Communication interculturelle; Résolution de problèmes,Manager d'Hôtel,TEH,61.15
STD_2026_0268,Étudiant,16,M,G,Negociation internationale; Marketing Digital; Résolution de problèmes,Business Developer,CAA,74.13
STD_2026_0269,Étudiant,16,F,Technique,Rédaction juridique; Conseil d'entreprise; Résolution de problèmes,Assistant Juridique,DTJA,62.62
STD_2026_0270,Étudiant,19,F,A,Analyse financière; Étude d'impact économique; Résolution de problèmes,Consultant en Organisation,EMP,73.54
STD_2026_0271,Étudiant,18,F,A1,Comptabilité générale & analytique; Contrôle de gestion; Résolution de problèmes,Comptable Senior,FIC,48.56
STD_2026_0272,Étudiant,18,M,A2,Zootechnie; Agronomie; Résolution de problèmes,Agronome,AEE,66.56
STD_2026_0273,Étudiant,21,M,L,Microbiologie; Process agroalimentaires; Résolution de problèmes,Ingénieur Agroalimentaire,IAA,54.51
STD_2026_0274,Étudiant,19,M,C,Normes GMP/BPF; Chimie organique; Résolution de problèmes,Responsable contrôle qualité labo,PIP,77.52
STD_2026_0275,Étudiant,18,F,D,Automatisme PLC; CAO Mécanique; Résolution de problèmes,Concepteur Mécatronique,EMII,73.43
STD_2026_0276,Étudiant,17,F,S,AutoCAD/Revit; Calcul de structures; Résolution de problèmes,Conducteur de travaux,GCA,81.83
STD_2026_0277,Étudiant,21,F,G,Normes QHSE; Géologie minière; Résolution de problèmes,Responsable d'extraction,ICMP,68.91
STD_2026_0278,Étudiant,20,F,Technique,C/C++ embarqué; Électronique numérique; Résolution de problèmes,Ingénieur Systèmes Embarqués,ESIIA,80.82
STD_2026_0279,Étudiant,17,M,A,Algorithmique & Python; Génie Logiciel & Java/Web; Résolution de problèmes,Ingénieur Génie Logiciel,IGGLIA,79.06
STD_2026_0280,Étudiant,20,F,A1,Développement Web/Mobile; Réseaux informatiques; Résolution de problèmes,Designer UI/UX,IMTICIA,80.92
STD_2026_0281,Étudiant,20,F,A2,PowerBI & Analytics; Python / R Data; Résolution de problèmes,Data Scientist,ISAIA,56.56
STD_2026_0282,Étudiant,21,M,L,Ingénierie touristique; Écotourisme & Biodiversité; Résolution de problèmes,Responsable Parc Naturel,TEE,78.58
STD_2026_0283,Étudiant,17,F,C,Management hôtelier; Communication interculturelle; Résolution de problèmes,Chef de projet Événementiel,TEH,55.3
STD_2026_0284,Étudiant,21,M,D,Analyse Marché; Marketing Digital; Résolution de problèmes,Directeur des Ventes,CAA,93.32
STD_2026_0285,Étudiant,19,M,S,Rédaction juridique; Conseil d'entreprise; Résolution de problèmes,Gestionnaire de Contrats,DTJA,48.34
STD_2026_0286,Étudiant,18,M,G,Étude d'impact économique; Analyse financière; Résolution de problèmes,Chef de Projet,EMP,78.4
STD_2026_0287,Étudiant,16,F,Technique,Comptabilité générale & analytique; Gestion de trésorerie; Résolution de problèmes,Auditeur Financier,FIC,54.63
STD_2026_0288,Étudiant,21,M,A,Gestion d'exploitation; Zootechnie; Résolution de problèmes,Conseiller agricole,AEE,62.42
STD_2026_0289,Étudiant,16,F,A1,Contrôle qualité HACCP; Microbiologie; Résolution de problèmes,Conducteur de ligne de production,IAA,44.28
STD_2026_0290,Étudiant,18,M,A2,Pharmacologie; Chimie organique; Résolution de problèmes,Assistant de recherche galénique,PIP,44.96
STD_2026_0291,Étudiant,17,F,L,Automatisme PLC; Maintenance industrielle; Résolution de problèmes,Ingénieur Électromécanicien,EMII,46.93
STD_2026_0292,Étudiant,16,F,C,Métré et devis; AutoCAD/Revit; Résolution de problèmes,Chef de chantier BTP,GCA,77.86
STD_2026_0293,Étudiant,17,M,D,Génie des procédés; Raffinage et extraction; Résolution de problèmes,Ingénieur QHSE,ICMP,94.8
STD_2026_0294,Étudiant,16,M,S,Microcontrôleurs IoT; Signal & Traitement; Résolution de problèmes,Ingénieur Robotique,ESIIA,76.57
STD_2026_0295,Étudiant,16,M,G,Algorithmique & Python; SQL & Bases de données; Résolution de problèmes,Développeur Fullstack,IGGLIA,74.15
STD_2026_0296,Étudiant,16,F,Technique,Développement Web/Mobile; Infographie & 3D; Résolution de problèmes,Concepteur Multimédia,IMTICIA,75.5
STD_2026_0297,Étudiant,19,M,A,PowerBI & Analytics; Python / R Data; Résolution de problèmes,Data Analyst,ISAIA,44.63
STD_2026_0298,Étudiant,19,M,A1,Guide & Médiation; Écotourisme & Biodiversité; Résolution de problèmes,Chef de projet Développement Durable,TEE,74.82
STD_2026_0299,Étudiant,17,F,A2,Yield Management; Gestion événementielle; Résolution de problèmes,Manager d'Hôtel,TEH,74.69
STD_2026_0300,Étudiant,20,M,L,Analyse Marché; Techniques de Vente; Résolution de problèmes,Business Developer,CAA,81.5
STD_2026_0301,Étudiant,21,F,C,Droit des contrats; Rédaction juridique; Résolution de problèmes,Gestionnaire de Contrats,DTJA,62.02
STD_2026_0302,Étudiant,16,F,D,Gestion des risques; Gestion de projet Agile/PMP; Résolution de problèmes,Scrum Master,EMP,71.14
STD_2026_0303,Étudiant,18,M,S,Gestion de trésorerie; Audit financier; Résolution de problèmes,Comptable Senior,FIC,77.11
STD_2026_0304,Étudiant,20,M,G,Gestion d'exploitation; Agronomie; Résolution de problèmes,Conseiller agricole,AEE,51.31
STD_2026_0305,Étudiant,21,F,Technique,Microbiologie; Process agroalimentaires; Résolution de problèmes,Biologiste industriel,IAA,78.8
STD_2026_0306,Étudiant,18,M,A,Analyse en laboratoire; Normes GMP/BPF; Résolution de problèmes,Technicien supérieur en pharmacologie,PIP,52.03
STD_2026_0307,Étudiant,21,M,A1,Automatisme PLC; Maintenance industrielle; Résolution de problèmes,Concepteur Mécatronique,EMII,36.75
STD_2026_0308,Étudiant,21,M,A2,Conduite de chantier BTP; Calcul de structures; Résolution de problèmes,Architecte collaborateur,GCA,34.39
STD_2026_0309,Étudiant,19,M,L,Géologie minière; Raffinage et extraction; Résolution de problèmes,Géologue minier,ICMP,53.12
STD_2026_0310,Étudiant,18,F,C,Signal & Traitement; Électronique numérique; Résolution de problèmes,Développeur IoT,ESIIA,78.27
STD_2026_0311,Étudiant,16,F,D,Algorithmique & Python; SQL & Bases de données; Résolution de problèmes,Ingénieur Génie Logiciel,IGGLIA,73.53
STD_2026_0312,Étudiant,21,F,S,Réseaux informatiques; UI/UX Design; Résolution de problèmes,Designer UI/UX,IMTICIA,72.52
STD_2026_0313,Étudiant,21,M,G,Statistiques inférentielles; Python / R Data; Résolution de problèmes,Statisticien Décisionnel,ISAIA,72.33
STD_2026_0314,Étudiant,20,F,Technique,Gestion de projets durables; Ingénierie touristique; Résolution de problèmes,Guide Patrimoine,TEE,49.52
STD_2026_0315,Étudiant,21,F,A,Yield Management; Management hôtelier; Résolution de problèmes,Chef de projet Événementiel,TEH,73.4
STD_2026_0316,Étudiant,19,M,A1,Marketing Digital; Negociation internationale; Résolution de problèmes,Directeur des Ventes,CAA,71.31
STD_2026_0317,Étudiant,16,M,A2,Analyse fiscale; Conseil d'entreprise; Résolution de problèmes,Gestionnaire de Contrats,DTJA,77.79
STD_2026_0318,Étudiant,18,M,L,Étude d'impact économique; Analyse financière; Résolution de problèmes,Consultant en Organisation,EMP,45.98
STD_2026_0319,Étudiant,19,M,C,Gestion de trésorerie; Audit financier; Résolution de problèmes,Auditeur Financier,FIC,83.25
STD_2026_0320,Étudiant,16,M,D,Agronomie; Zootechnie; Résolution de problèmes,Responsable d'élevage,AEE,81.05
STD_2026_0321,Étudiant,17,M,S,Microbiologie; Process agroalimentaires; Résolution de problèmes,Conducteur de ligne de production,IAA,82.51
STD_2026_0322,Étudiant,19,F,G,Normes GMP/BPF; Analyse en laboratoire; Résolution de problèmes,Responsable contrôle qualité labo,PIP,49.33
STD_2026_0323,Étudiant,21,M,Technique,Maintenance industrielle; CAO Mécanique; Résolution de problèmes,Ingénieur Électromécanicien,EMII,81.46
STD_2026_0324,Étudiant,16,F,A,Conduite de chantier BTP; Calcul de structures; Résolution de problèmes,Ingénieur Génie Civil,GCA,55.94
STD_2026_0325,Étudiant,16,F,A1,Normes QHSE; Raffinage et extraction; Résolution de problèmes,Responsable d'extraction,ICMP,44.14
STD_2026_0326,Étudiant,18,F,A2,Signal & Traitement; Électronique numérique; Résolution de problèmes,Développeur IoT,ESIIA,45.36
STD_2026_0327,Étudiant,19,F,L,SQL & Bases de données; Algorithmique & Python; Résolution de problèmes,Développeur Fullstack,IGGLIA,57.13
STD_2026_0328,Étudiant,17,M,C,Infographie & 3D; Réseaux informatiques; Résolution de problèmes,Développeur Web/Mobile,IMTICIA,83.62
STD_2026_0329,Étudiant,16,M,D,Statistiques inférentielles; Machine Learning & Deep Learning; Résolution de problèmes,Data Analyst,ISAIA,75.01
STD_2026_0330,Étudiant,19,M,S,Écotourisme & Biodiversité; Gestion de projets durables; Résolution de problèmes,Guide Patrimoine,TEE,74.53
STD_2026_0331,Étudiant,17,F,G,Management hôtelier; Gestion événementielle; Résolution de problèmes,Directeur de l'Hébergement,TEH,78.48
STD_2026_0332,Étudiant,18,M,Technique,Negociation internationale; Marketing Digital; Résolution de problèmes,Responsable Commercial,CAA,59.81
STD_2026_0333,Étudiant,19,M,A,Conseil d'entreprise; Analyse fiscale; Résolution de problèmes,Assistant Juridique,DTJA,78.72
STD_2026_0334,Étudiant,19,F,A1,Gestion de projet Agile/PMP; Analyse financière; Résolution de problèmes,Scrum Master,EMP,69.69
STD_2026_0335,Étudiant,20,F,A2,Comptabilité générale & analytique; Gestion de trésorerie; Résolution de problèmes,Comptable Senior,FIC,57.84
STD_2026_0336,Étudiant,17,F,L,Gestion d'exploitation; Agronomie; Résolution de problèmes,Agronome,AEE,57.4
STD_2026_0337,Étudiant,17,M,C,Microbiologie; Biochimie alimentaire; Résolution de problèmes,Conducteur de ligne de production,IAA,79.49
STD_2026_0338,Étudiant,17,F,D,Pharmacologie; Normes GMP/BPF; Résolution de problèmes,Responsable contrôle qualité labo,PIP,82.09
STD_2026_0339,Étudiant,18,M,S,Électrotechnique; Maintenance industrielle; Résolution de problèmes,Concepteur Mécatronique,EMII,83.28
STD_2026_0340,Étudiant,21,F,G,Calcul de structures; Métré et devis; Résolution de problèmes,Ingénieur Génie Civil,GCA,54.76
STD_2026_0341,Étudiant,17,M,Technique,Géologie minière; Raffinage et extraction; Résolution de problèmes,Responsable d'extraction,ICMP,98.14
STD_2026_0342,Étudiant,18,M,A,Microcontrôleurs IoT; C/C++ embarqué; Résolution de problèmes,Ingénieur Robotique,ESIIA,45.15
STD_2026_0343,Étudiant,19,M,A1,Algorithmique & Python; Génie Logiciel & Java/Web; Résolution de problèmes,Ingénieur Génie Logiciel,IGGLIA,63.79
STD_2026_0344,Étudiant,19,F,A2,Développement Web/Mobile; Infographie & 3D; Résolution de problèmes,Designer UI/UX,IMTICIA,72.44
STD_2026_0345,Étudiant,20,F,L,Python / R Data; PowerBI & Analytics; Résolution de problèmes,Data Scientist,ISAIA,48.73
STD_2026_0346,Étudiant,21,M,C,Guide & Médiation; Écotourisme & Biodiversité; Résolution de problèmes,Responsable Parc Naturel,TEE,52.95
STD_2026_0347,Étudiant,21,F,D,Yield Management; Management hôtelier; Résolution de problèmes,Chef de projet Événementiel,TEH,76.99
STD_2026_0348,Étudiant,17,M,S,Marketing Digital; Techniques de Vente; Résolution de problèmes,Chef de Produit Marketing,CAA,74.23
STD_2026_0349,Étudiant,20,M,G,Analyse fiscale; Conseil d'entreprise; Résolution de problèmes,Gestionnaire de Contrats,DTJA,75.36
STD_2026_0350,Étudiant,16,F,Technique,Gestion de projet Agile/PMP; Étude d'impact économique; Résolution de problèmes,Consultant en Organisation,EMP,59.0
STD_2026_0351,Étudiant,20,F,A,Gestion de trésorerie; Audit financier; Résolution de problèmes,Auditeur Financier,FIC,57.57
STD_2026_0352,Étudiant,21,F,A1,Agronomie; Zootechnie; Résolution de problèmes,Responsable d'élevage,AEE,78.12
STD_2026_0353,Étudiant,18,F,A2,Microbiologie; Biochimie alimentaire; Résolution de problèmes,Responsable Qualité HACCP,IAA,50.0
STD_2026_0354,Étudiant,20,M,L,Analyse en laboratoire; Pharmacologie; Résolution de problèmes,Délégué médical,PIP,46.24
STD_2026_0355,Étudiant,21,F,C,Électrotechnique; Automatisme PLC; Résolution de problèmes,Automaticien,EMII,83.57
STD_2026_0356,Étudiant,19,F,D,Conduite de chantier BTP; AutoCAD/Revit; Résolution de problèmes,Conducteur de travaux,GCA,83.57
STD_2026_0357,Étudiant,18,M,S,Raffinage et extraction; Génie des procédés; Résolution de problèmes,Responsable d'extraction,ICMP,73.82
STD_2026_0358,Étudiant,17,F,G,Signal & Traitement; C/C++ embarqué; Résolution de problèmes,Ingénieur Systèmes Embarqués,ESIIA,55.25
STD_2026_0359,Étudiant,16,M,Technique,Algorithmique & Python; Machine Learning; Résolution de problèmes,Développeur Fullstack,IGGLIA,73.01
STD_2026_0360,Étudiant,16,F,A,Développement Web/Mobile; Infographie & 3D; Résolution de problèmes,Designer UI/UX,IMTICIA,75.69
STD_2026_0361,Étudiant,21,M,A1,PowerBI & Analytics; Python / R Data; Résolution de problèmes,Data Analyst,ISAIA,58.68
STD_2026_0362,Étudiant,18,M,A2,Guide & Médiation; Ingénierie touristique; Résolution de problèmes,Responsable Parc Naturel,TEE,73.79
STD_2026_0363,Étudiant,17,M,L,Communication interculturelle; Gestion événementielle; Résolution de problèmes,Chef de projet Événementiel,TEH,72.72
STD_2026_0364,Étudiant,17,F,C,Marketing Digital; Techniques de Vente; Résolution de problèmes,Chef de Produit Marketing,CAA,85.96
STD_2026_0365,Étudiant,21,F,D,Droit des contrats; Conseil d'entreprise; Résolution de problèmes,Gestionnaire de Contrats,DTJA,74.12
STD_2026_0366,Étudiant,17,M,S,Étude d'impact économique; Gestion des risques; Résolution de problèmes,Chef de Projet,EMP,72.25
STD_2026_0367,Étudiant,19,F,G,Contrôle de gestion; Gestion de trésorerie; Résolution de problèmes,Directeur Financier (CFO),FIC,93.17
STD_2026_0368,Étudiant,16,M,Technique,Gestion d'exploitation; Analyse des sols; Résolution de problèmes,Responsable d'élevage,AEE,44.66
STD_2026_0369,Étudiant,18,F,A,Microbiologie; Biochimie alimentaire; Résolution de problèmes,Conducteur de ligne de production,IAA,41.78
STD_2026_0370,Étudiant,18,F,A1,Pharmacologie; Analyse en laboratoire; Résolution de problèmes,Assistant de recherche galénique,PIP,46.88
STD_2026_0371,Étudiant,18,M,A2,Automatisme PLC; Électrotechnique; Résolution de problèmes,Automaticien,EMII,48.93
STD_2026_0372,Étudiant,17,M,L,Calcul de structures; AutoCAD/Revit; Résolution de problèmes,Conducteur de travaux,GCA,45.26
STD_2026_0373,Étudiant,19,F,C,Géologie minière; Raffinage et extraction; Résolution de problèmes,Ingénieur QHSE,ICMP,79.24
STD_2026_0374,Étudiant,17,M,D,C/C++ embarqué; Microcontrôleurs IoT; Résolution de problèmes,Ingénieur Systèmes Embarqués,ESIIA,50.02
STD_2026_0375,Étudiant,19,M,S,Génie Logiciel & Java/Web; Machine Learning; Résolution de problèmes,Architecte SI,IGGLIA,89.18
STD_2026_0376,Étudiant,20,F,G,UI/UX Design; Développement Web/Mobile; Résolution de problèmes,Administrateur Réseaux & TIC,IMTICIA,76.98
STD_2026_0377,Étudiant,19,M,Technique,Machine Learning & Deep Learning; PowerBI & Analytics; Résolution de problèmes,Statisticien Décisionnel,ISAIA,50.28
STD_2026_0378,Étudiant,17,F,A,Ingénierie touristique; Écotourisme & Biodiversité; Résolution de problèmes,Responsable Parc Naturel,TEE,78.86
STD_2026_0379,Étudiant,16,M,A1,Management hôtelier; Yield Management; Résolution de problèmes,Chef de projet Événementiel,TEH,75.95
STD_2026_0380,Étudiant,20,M,A2,Negociation internationale; Techniques de Vente; Résolution de problèmes,Responsable Commercial,CAA,87.0
STD_2026_0381,Étudiant,16,F,L,Analyse fiscale; Droit des contrats; Résolution de problèmes,Gestionnaire de Contrats,DTJA,75.12
STD_2026_0382,Étudiant,17,M,C,Analyse financière; Étude d'impact économique; Résolution de problèmes,Analyste Économique,EMP,81.01
STD_2026_0383,Étudiant,20,F,D,Contrôle de gestion; Gestion de trésorerie; Résolution de problèmes,Directeur Financier (CFO),FIC,87.71
STD_2026_0384,Étudiant,21,M,S,Agronomie; Analyse des sols; Résolution de problèmes,Chef d'exploitation,AEE,78.91
STD_2026_0385,Étudiant,21,F,G,Microbiologie; Biochimie alimentaire; Résolution de problèmes,Conducteur de ligne de production,IAA,58.03
STD_2026_0386,Étudiant,17,F,Technique,Analyse en laboratoire; Pharmacologie; Résolution de problèmes,Technicien supérieur en pharmacologie,PIP,54.85
STD_2026_0387,Étudiant,17,M,A,Électrotechnique; Maintenance industrielle; Résolution de problèmes,Ingénieur Électromécanicien,EMII,47.8
STD_2026_0388,Étudiant,20,M,A1,Calcul de structures; AutoCAD/Revit; Résolution de problèmes,Architecte collaborateur,GCA,51.35
STD_2026_0389,Étudiant,19,F,A2,Raffinage et extraction; Génie des procédés; Résolution de problèmes,Ingénieur Procédés,ICMP,49.54
STD_2026_0390,Étudiant,17,M,L,Électronique numérique; C/C++ embarqué; Résolution de problèmes,Ingénieur Robotique,ESIIA,51.2
STD_2026_0391,Étudiant,21,F,C,Algorithmique & Python; SQL & Bases de données; Résolution de problèmes,Développeur Fullstack,IGGLIA,80.86
STD_2026_0392,Étudiant,20,F,D,UI/UX Design; Infographie & 3D; Résolution de problèmes,Concepteur Multimédia,IMTICIA,79.85
STD_2026_0393,Étudiant,19,F,S,Python / R Data; Statistiques inférentielles; Résolution de problèmes,Statisticien Décisionnel,ISAIA,76.86
STD_2026_0394,Étudiant,18,M,G,Gestion de projets durables; Ingénierie touristique; Résolution de problèmes,Guide Patrimoine,TEE,82.48
STD_2026_0395,Étudiant,21,F,Technique,Gestion événementielle; Yield Management; Résolution de problèmes,Directeur de l'Hébergement,TEH,63.85
STD_2026_0396,Étudiant,19,F,A,Techniques de Vente; Marketing Digital; Résolution de problèmes,Responsable Commercial,CAA,68.89
